,City,Latitude,Longitude,Temp,Humidity,Clouds,Wind
0,ilulissat,69.22,-51.1,42.8,60,0,8.34
1,moose factory,51.26,-80.61,44.6,81,90,4.7
2,isangel,-19.55,169.27,82.4,69,75,3.36
3,norman wells,65.28,-126.83,39.2,93,90,3.36
4,ushuaia,-54.81,-68.31,41.0,86,75,5.55
5,bathsheba,13.22,-59.52,82.4,74,40,20.8
6,bredasdorp,-34.53,20.04,60.01,54,13,28.86
7,carnarvon,-30.97,22.13,49.11,77,19,23.44
8,jamestown,-33.21,138.6,55.23,45,0,9.13
9,nelson bay,-32.72,152.14,54.0,87,100,6.93
10,bluff,-23.58,149.07,67.65,24,100,11.99
11,bambous virieux,-20.34,57.76,73.4,73,40,17.22
12,radford,37.13,-80.58,68.0,82,1,4.18
13,fortuna,38.18,-1.13,66.0,88,0,3.36
14,klyuchi,52.25,79.17,73.41,36,58,16.93
15,farmington,36.73,-108.21,64.4,52,1,17.85
16,new norfolk,-42.78,147.06,53.6,50,75,26.4
17,hermanus,-34.42,19.24,60.01,70,60,20.0
18,puerto ayora,-0.74,-90.35,73.0,92,35,1.01
19,adrar,27.87,-0.29,82.4,15,0,6.93
20,albany,42.65,-73.75,55.99,100,90,4.7
21,ponta do sol,-20.63,-46.0,52.17,93,0,4.74
22,vikersund,59.97,9.99,50.0,87,0,3.36
23,lukiv,51.05,25.4,64.99,81,17,6.31
24,rikitea,-23.12,-134.97,75.93,79,19,2.37
25,portland,45.52,-122.67,77.0,22,1,2.95
26,port alfred,-33.59,26.89,69.01,54,3,11.01
27,tuktoyaktuk,69.44,-133.03,44.6,65,40,16.11
28,cape town,-33.93,18.42,59.0,54,20,16.11
29,upernavik,72.79,-56.15,33.81,89,96,0.96
30,victoria,5.28,115.24,86.0,79,75,6.93
31,tiksi,71.64,128.87,34.89,75,0,13.8
32,cherskiy,68.75,161.3,42.99,38,0,16.35
33,nishihara,35.74,139.53,81.0,61,75,13.87
34,kolyvan,55.31,82.74,62.6,72,0,8.95
35,tabas,33.6,56.92,78.8,24,0,6.58
36,cordoba,5.59,-73.79,62.61,75,98,4.68
37,caborca,30.58,-111.1,81.0,27,0,7.0
38,kiunga,-6.12,141.3,87.99,65,100,1.9
39,luanda,-8.83,13.24,71.6,88,75,3.36
40,castro,-42.48,-73.76,50.0,87,100,17.22
41,kapaa,22.08,-159.32,84.2,78,90,16.11
42,karpathos,35.51,27.21,64.4,82,0,8.05
43,avarua,-21.21,-159.78,73.4,88,61,6.93
44,hobart,-42.88,147.33,53.6,50,75,26.4
45,hilo,19.71,-155.08,82.4,61,20,6.93
46,la ronge,55.1,-105.3,62.6,48,20,3.36
47,nambutalai,9.72,79.0,85.29,66,100,5.68
48,kieta,-6.22,155.63,85.47,69,65,9.78
49,kalabo,-15.0,22.67,51.99,53,0,4.83
50,berdigestyakh,62.1,126.7,76.47,37,96,6.8
51,bonthe,7.53,-12.5,79.53,83,100,6.22
52,severo-kurilsk,50.68,156.12,41.19,93,100,17.09
53,kidal,18.44,1.41,90.33,10,0,8.61
54,vestmannaeyjar,63.44,-20.27,46.41,62,66,18.19
55,teguise,29.06,-13.56,68.0,82,2,13.87
56,emerald,-23.53,148.16,66.0,31,92,13.87
57,georgetown,6.8,-58.16,78.8,88,40,4.7
58,butaritari,3.07,172.79,84.93,79,83,14.58
59,qaqortoq,60.72,-46.03,44.6,56,28,4.7
60,kununurra,-15.77,128.74,68.0,24,100,14.99
61,jinotega,13.09,-86.0,71.01,92,42,1.99
62,punta arenas,-53.16,-70.91,39.2,93,75,4.7
63,rodrigues alves,-7.74,-72.65,73.05,83,0,1.34
64,atuona,-9.8,-139.03,82.59,77,42,19.1
65,pueblo,38.25,-104.61,69.8,43,75,5.82
66,cidreira,-30.17,-50.22,60.63,75,0,6.26
67,mahebourg,-20.41,57.7,73.4,73,40,17.22
68,tchibanga,-2.92,11.0,70.71,95,81,1.63
69,qaanaaq,77.48,-69.36,22.65,91,98,2.89
